status,title,journal_type,write_date,update_date,visit
1,"조홍규, 최학희, 김동성, 이재민 &#34;스마트 팜 무선 네트워크의 설계 및 구현: LoRa 및 IEEE 802.11 무선 백홀망(Design and Implementation of Smart Farm Wireless Network: LoRa and IEEE 802.11 Wireless Backhaul Network)&#34;, Journal of KICS, Vol. 43, No. 5, pp.850-862, 2018, May.(ISSN : 1226-4717)",2,6/7/2018 19:02,6/12/2018 19:32,1226
1,"이하연, 김동성, &#34;네트워크 기반 함정 전투체계를 위한 실시간 데이터 검색 및 처리 기법(Real-time Data Search and Processing Scheme for Networked Naval Combat System)&#34;, Journal of KICS, 2018.(Revision)",2,6/26/2018 15:55,10/20/2018 14:48,1122
1,"김승한. 조창훈, 김동성, &#34;MIL-STD-1553B 필드버스 기반의 내장형 시스템설계 및 구현(Design and Implementation of MIL-STD-1553B Fieldbus Based Embedded System)&#34;, Journal of KICS, Vol. 43, No.8, pp. 1273-1281, 31. Aug. 2018. (N2 & N4)",2,8/28/2018 13:35,1/3/2019 14:44,1811
1,"Seung-Hwan Kim, Jae-Min Lee and Dong-Seong Kim, &#34;항공기용 멀티 홉 무선센서 통신망에서 협력통신기법(Cooperative Communication Schemes for Multi-hop Wireless Sensor Network of Aircraft),&#34; 대한전자공학회(IEEK), Vol. 55, No. 10, pp. 1-11, Oct. 2018, ISSN: 1229-635X",2,9/18/2018 15:37,9/19/2018 15:42,1179
1,"김승환, 김재우, 권기협, 김동성, &#34;인지통신 기반 산업용 IoT를 위한 효율적 채널 핸드오프 기법(Efficient Channel Handoff Scheme for Cognitive-Radio-Based Industrial Internet of Things)&#34;, Journal of KICS, vol. 44, no. 9, pp. 1-8, Sep. 2019.",2,3/25/2019 14:35,8/5/2019 9:19,982
1,"김재우. 김동성, 김승환, 신상문 &#34;광통신 시스템을 위한 100Gb/s 광트랜시버 펌웨어 설계 및 구현(Design and implementation of 100Gb/s optical transceiver firmware for optical communication system)&#34;, Vol. 44 No. 2, Journal of KICS, 2019.",2,12/27/2018 16:15,2/20/2019 22:53,1051
1,"문창배, 이종열, 김동성, 김병만, &#34;음악추천을 위한 분위기 태그 분석(Analysis of Mood Tags For Music Recommendation)&#34;, 한국산업정보학회 논문집(Journal of the Korea Industrial Information Systems Research), Vol. 24, No. 1, pp.13-21 , 2019.2",2,2/13/2019 15:28,4/30/2019 12:27,1229
1,"김시완, 기관욱, 김동성, &#34;지능형 영상 시스템에 기반한 함포 배열 분석용  S/W의 설계 및 구현(Design and Implementation Naval Gun Alignment Analysis S/W using Intelligent Image System)&#34;, Journal of KICS,  2019. (Pr)",2,4/2/2019 22:04,4/2/2019 22:04,1070
1,"김경선, 서민승, 김동성, &#34;H.265/HEVC 및 Bezier Curve 영상 재구성 기법을 이용한 함정용 실시간 모니터링 시스템(Real-time Monitoring System for Naval using H.265/HEVC and Bezier Curve Image Reconstruction Scheme)&#34;, Journal of KICS, 2019. (Pr)",2,4/2/2019 22:07,4/2/2019 22:07,1068
1,"이종우, 최철준, 김동성, &#34;함정 전투체계 실시간 통신망을 위한 이중화 전송기법(Redundancy Transmission Scheme for Real-time Networkof Naval Combat System)&#34;, Journal of KICS, 2020. (R)",2,4/2/2019 22:09,6/1/2020 15:13,1065
1,"유상호, 임지철, 김동성, &#34;가상화 기반 함정 전투 시스템 클러스터의 라이브 마이그레이션 최소화 기법(Live Migration Minimization Scheme for Virtualization-based Naval Combat Cluste)&#34;, Journal of KICS, 2019. (Pr)",2,4/2/2019 22:12,4/3/2019 18:36,1046
1,"박성화, 강문석, 김동성 “함정 전투 체계를 위한 PUSH/PULL 기반의 모니터링 플랫폼 설계 및 구현 (Design and Implementation of Monitoring Platform Based on PUSH/PULL for Naval Combat Systems)”, Journal of KICS, 2019. (Pr)",2,4/2/2019 22:26,4/3/2019 14:20,1080
4,"임진용, 김동성, &#34;차세대 함정전투체계를 위한 가상화 솔루션의 성능 분석 (Performance Evaluation of Virtualization Solution for Next Generation Naval Combat Systems)&#34;, Journal of ICROS, Vol. 56, No. 2, pp. 41-49, Feb. 2019.",2,4/30/2019 12:32,6/24/2019 17:56,1237
1,Paper Information Format,2,7/12/2019 11:30,7/12/2019 16:51,1109
1,"김승환, 김재우, 권기협, 김동성, &#34;무선 센서 네트워크 성능 향상을 위한 기계학습 응용동향 및 분석(Analysis and Application Trend of Machine Learning Technology to Improve the Performance of Wireless Sensor Networks)&#34;, Journal of KICS, vol. 45, no.1, pp. 1-21, 2020.",2,8/23/2019 14:21,11/14/2019 14:52,1078
1,"김재우, 김동성, 김승환, 신상문 &#34;PAM4 변조방식을 이용한 장거리 전송용 QSFP28 광트랜시버 설계 및 구현(Design and Implementation of QSFP28 Optical Transceiver for Long-Rich Transmission Using PAM4 Modulation)&#34;, Journal of KICS, vol. 44, no.12, 2019.",2,12/10/2019 14:22,5/15/2030 12:00,2738
1,"김승환, 김치윤, 유상호, 김동성, &#34;인지 무선 통신망의 자동 변조 분류를 위한 딥러닝 모델 설계(Design of Deep Learning Model for Automatic Modulation Classification in Cognitive Radio Network)&#34;, Journal of KICS, vol.45, no.8, pp.1-8, Aug. 2020.",2,3/5/2020 16:28,6/22/2020 13:10,1075
1,"이주원, 차중혁, 이종우, 김경선, 김동성, &#34;PFDP 기반 DDS Security의 경량화 디스커버리 기법(PFDP-based DDS Security Lightweight Discovery Scheme)&#34;, Journal of KICS, vol.45 no.12, Dec., 2020.",2,9/18/2020 16:31,12/18/2020 15:33,1088
1,"차중혁, 이종우, 이재민, 김동성, &#34;민·군 ICT융합기술을 위한 실시간 미들웨어 응용 및 동향 연구&#34;, Journal of KICS, vol.37, no.10, pp.47-54, Oct. 2020.",2,9/29/2020 11:15,10/29/2020 22:00,812
1,"김승환, 문창배, 김재우, 김동성, &#34;확장된 프레임을 적용한 딥러닝 기반 자동 변조 분류 설계(Design of Automatic Modulation Classification based on Deep Learning Technique Applying Extended Frame)&#34;, Journal of KICS, vol. 46, no. 8, pp. 1-8, Oct. 2021.(학술지 우수 논문상)",2,1/15/2021 16:20,11/11/2021 14:59,762
4,"김다혜, 유상호, 박성화, 김동성, 이재민, &#34;야생 동물 침입 방지를 위한 실시간 모니터링 플랫폼 설계 및 구현(Design and Implementation of Real-time Monitoring Platform for Preventing Wild Animals)&#34;, Journal of KICS, vol. 46, no. 8, pp. 1294-1300, August 2021",2,4/5/2021 15:11,9/15/2021 10:19,4342
1,"류원재, 김재우, 김동성, &#34;하향 링크 NOMA에서 URLLC를 위한 유한블록길이 적용 유전알고리즘 기반의 다중셀 다지점 협력 통신 성능 평가(Performance Evaluation of Multi-cell CoMP based on Genetic Algorithm Applied to Finite Blocklength regime for URLLC in downlink Non-orthogonal Multiple Access)&#34;, Journal of KICS, vol.46, no.7, pp.1219-1226, Jul. 2021.",2,5/6/2021 10:10,7/26/2021 13:11,690
1,"차중혁, 이재민, 김동성, &#34;BLE-based lightweight message-oriented middleware for Industrial IoT&#34;, Journal of KICS, 2021(pr).",2,7/27/2021 23:05,7/27/2021 23:05,630
1,"김시완, 장민희, 이재민, 김동성, &#34;Backup UAV-based Multi-UAV network recovery scheme applying CSMA/CA&#34;, Journal of KICS, 2021(In revision).",2,8/19/2021 14:11,10/6/2021 10:55,632
1,"이종우, 김형진, 이재민, 전태수, 김동성, &#34;Blockchain-Based Data Sharing Scheme to Enhance Reliability and Security for Naval Combat System&#34;, Journal of KICS, Vol.47, No.06, Jun. 2022.",2,8/19/2021 14:13,6/14/2022 15:28,1132
4,"Ali Aouto, Ali Moallem, and Dong-Seong Kim, &#34;Hybrid Demand Responsive Public Transport System for Conventional Public Transport in City Metropolitan Area&#34; KICS journal (Accepted)",2,4/10/2023 11:30,8/30/2023 14:31,52
4,"Made Adi Paramartha Putra, Ahakonye Love Allen Chijioke, Mark Verana, Dong Seong Kim, Jae Min Lee, &#34;다중 블록 2D-컨볼루션 신경망을 이용한 효율적인 3D 프린터 출력 결함 분류 기법&#34; (Efficient 3D Printer Fault Classification using Multi-Block 2D-Convolutional Neural Network), Journal of KICS, 2021 (A)",2,11/9/2021 19:31,11/13/2021 22:36,372
1,"김승환, 문창배, 권기협, 김동성, &#34;자동 변조 분류를 위해 사전훈련된 딥러닝 네트워크를 활용한 이미지 기반 딥러닝 모델 설계(Design of Image-based Deep Learning Model Using Pre-Training Deep Learning Network)&#34;, Journal of KICS, Vol.47, No.4, pp. 1-10, April 2022.",2,11/5/2021 16:43,4/9/2022 9:07,522
1,"김시완, 장민희, 김동성, 이재민, &#34;Backup UAV-Based Multi-UAV Network Recovery Scheme Applying CSMA/CA&#34;, Journal of KICS, vol.47, no.02, pp.261-268, Feb. 2022.",2,4/5/2022 14:20,5/15/2030 12:00,406
2,"Philip Tobianto Daely, Jae Min Lee, Dong-Seong Kim, &#34;Vehicle Routing Based Mining for Proof-of-Useful-Work Blockchain&#34;, Journal of KICS (S)",2,3/31/2023 18:55,5/15/2030 12:00,44
1,"김경선, 장민희, 류주연, 정병인, 이재민, 김동성, &#34;Edge Computing Based Framework for Next Generation Naval Ship Combat Systems&#34;, Journal of KICS, Vol.47, no. 12, pp.2078-2085, Dec. 2022",2,11/22/2022 18:54,4/14/2023 11:38,147
4,"Dong-Seong Kim, Jae Min Lee, Cosmas Ifeanyi Nwakanma, Hoa Tran-Dang  &#34;Campus-based Test-Bed Implementation of 5G+ Networks at the 28 GHz Band: Challenges and Opportunities&#34;, The Journal of Korean Institute of Communications and Information Sciences (KICS), vol. 48, no. 8, August 2023.",2,5/26/2023 9:11,8/30/2023 12:14,60
1,"정소향, 장민희, 김우영, 이재호, 이재민, 김동성, &#34;Efficient Hybrid Task Offloading Scheme for Edge Computing in Dynamic Environments&#34;&#34;, Journal of KICS,Vol.47, no.12, pp.2086-2095, Dec. 2022",2,11/22/2022 18:57,4/14/2023 11:38,152
1,"차중혁, 김형진, 이재민, 김동성, &#34;스마트 국방 분산 시스템을 위한 메시지 지향 미들웨어 연구 동향&#34;, 정보과학회지, vol.41, no.3, pp.32-39, Mar., 2023",2,4/10/2023 23:06,5/15/2030 12:00,87
1,"김재우,류원재,이재민,김동성 &#34;군용 네트워크 설계 및 분석을 위한 네트워크 시뮬레이션 도구 분석&#34;, 정보과학회지, vol.41, no.3, pp.40-50, Mar., 2023",2,4/12/2023 12:42,5/15/2030 12:00,91
4,"P. T. Daely, J. M. Lee and D.-S. Kim, &#34;Wireless Node Localization Based on Wild Goats Algorithm for Industrial Internet of Things&#34;, KICS Journal, vol 48, no. 9, 2023 (In press))",2,4/13/2023 18:38,8/30/2023 14:59,46
4,"Revin Naufal Alief, Syifa Maliah Rachmawati, Jae Min Lee, Dong-Seong Kim, &#34;Malicious Account Classification using CNN for Ethereum Blockchain&#39;s Accounts&#34; in Journal of KICS 2023, Vol. 48, No. 7, 15 July 2023.",2,4/18/2023 22:10,5/26/2023 9:04,62
4,"Allwinnaldo, Revin Naufal Alief, Muhammad Rasyid Redha Ansori, Jae Min Lee, Dong-Seong Kim, &#34;Efficient Blockchain-based Energy Auction Platform for Secured Energy Trading on Industrial Sector,&#34; in Journal of KICS 2023 (A)",2,4/19/2023 1:48,8/21/2023 15:07,48
